20.149 21.211 10.559
19.674 18.921 11.365
21.965 17.494 9.22
21.154 15.453 8.822
20.008 15.498 10.331
20.279 14.539 11.684
19.955 12.859 11.672
19.54 12.162 10.694
19.667 11.936 10.745
19.974 10.125 11.74
19.829 10.116 10.384
20.154 7.566 8.593
21.729 9.579 7.126
19.59 7.948 11.677
19.407 5.281 10.563
18.391 4.399 11.41
19.029 8.33 11.01
19.565 12.17 11.539
19.733 17.416 10.841
24.144 16.753 10.169
24.922 15.347 11.798
24.294 15.413 9.699
21.774 14.237 7.274
25.622 11.62 9.302
21.897 4.281 8.386
20.91 5.651 7.915
20.999 9.252 6.494
21.307 10.342 6.436
24.252 15.615 9.663
22.131 20.318 10.386
19.96 21.38 12.688
19.707 18.895 12.061
21.753 17.729 14.336
21.161 15.716 15.237
19.962 15.599 13.688
20.24 14.577 12.477
19.929 12.921 12.649
19.49 12.294 13.717
19.57 11.924 13.706
19.875 10.167 12.905
19.745 10.216 14.15
19.897 7.992 16.152
21.465 10.016 17.416
19.553 7.951 13.046
19.266 4.933 14.469
18.646 4.249 13.094
18.95 8.512 13.47
19.597 12.222 12.841
19.788 17.505 12.882
24.144 16.909 13.794
24.936 15.523 12.561
24.153 15.701 14.463
21.512 14.528 16.969
25.412 11.716 15.323
21.48 4.693 16.837
20.393 6.206 17.077
20.712 9.896 18.125
21.046 10.823 18.047
24.081 15.9 14.527
22.005 20.611 13.088
25.08 15.164 12.139
26.504 8.98 12.59
26.013 5.431 12.968
19.074 4.609 12.383
20.02 7.912 12.381
20.88 10.414 12.48
21.42 12.576 12.189
24.816 14.458 12.136
