8.049 20.267 7.161
10.762 20.956 7.74
11.997 18.557 5.137
14.055 17.763 6.4
14.13 19.601 7.786
15.181 20.901 7.627
16.638 20.78 8.133
17.326 19.828 8.775
17.816 19.923 8.691
19.814 21.05 9.114
19.739 19.76 8.898
21.42 17.283 8.866
19.678 15.98 6.795
21.624 20.528 9.927
24.232 19.012 9.467
24.841 20.357 10.343
21.059 19.957 10.185
17.521 20.632 8.821
12.217 20.318 7.88
12.928 19.514 3.131
14.639 21.065 2.408
14.374 19.005 3.1
15.018 16.448 5.693
18.337 18.605 1.968
24.998 16.919 6.955
23.434 16.29 8.218
19.851 15.36 7.388
18.926 15.63 7.064
13.911 19.054 3.179
9.04 19.916 5.045
8.065 22.453 7.358
10.734 21.64 7.791
12.137 24.287 5.005
14.147 24.975 6.525
14.198 23.143 7.844
15.239 21.838 7.673
16.799 22.015 8.253
17.47 23.086 8.939
17.784 23.026 8.909
20.078 21.959 9.104
19.99 23.491 9.188
21.788 25.848 9.485
20.098 26.96 7.174
21.674 22.145 10.158
24.333 23.424 9.58
25.06 22.794 10.001
21.236 22.511 10.5
17.49 22.086 8.866
12.232 22.475 7.913
13.009 23.414 3.32
14.702 21.928 2.507
14.455 24.071 3.392
15.283 26.437 5.957
18.328 24.522 2.234
25.213 26.066 7.5
23.814 26.308 8.737
20.209 27.664 7.961
19.18 27.481 7.494
14.209 23.971 3.462
9.052 22.911 5.192
14.948 21.561 2.358
22.363 21.762 1.55
25.647 21.65 2.505
24.564 21.415 9.984
22.011 21.414 9.486
20.037 21.75 8.022
18.184 21.426 6.537
15.367 21.489 2.861
